id,name,status,date,category,amount,currency,salary,balance_left
9,Алтынай,Карта,2025-09-16,Кофе и рестораны,10560,KZT,1816149,1494081
34,Назым,Карта,2025-09-13,Продукты питания,4403,KZT,450547,441763
42,Серік,Карта,2025-09-08,Кофе и рестораны,15180,KZT,1118128,848420
20,Данияр,Карта,2025-08-23,Путешествия,32096,KZT,658844,37786
12,Аружан,Карта,2025-09-09,Продукты питания,22746,KZT,2121500,575730
25,Жазира,Карта,2025-08-21,Отели,121760,KZT,2152892,1220948
49,Әлихан,Карта,2025-09-21,АЗС,3750,KZT,1523631,877437
7,Айым,Карта,2025-07-22,Отдых дома,1443,KZT,730892,532540
7,Айым,Карта,2025-10-05,Путешествия,26558,KZT,730892,532540
27,Жанель,Карта,2025-09-23,Кофе и рестораны,15057,KZT,2466811,478293
41,Санжар,Карта,2025-08-13,Продукты питания,2038,KZT,2093193,1709280
26,Жандос,Карта,2025-08-06,Развлечения,16471,KZT,2241153,1220415
8,Алия,Карта,2025-10-14,АЗС,4788,KZT,703488,750886
1,Айгерім,Карта,2025-07-21,Продукты питания,27159,KZT,2168344,170820
46,Томирис,Карта,2025-10-10,Продукты питания,1661,KZT,555224,575506
24,Ерлан,Карта,2025-07-21,Кофе и рестораны,26615,KZT,2364205,2130238
37,Раушан,Карта,2025-09-27,Отдых дома,934,KZT,1261443,212419
17,Бағдат,Карта,2025-08-12,Продукты питания,27488,KZT,2283414,1101524
17,Бағдат,Карта,2025-10-09,АЗС,10273,KZT,2283414,1101524
7,Айым,Карта,2025-10-18,Развлечения,3005,KZT,730892,532540
16,Бауыржан,Карта,2025-09-12,Продукты питания,17907,KZT,1598485,1288866
17,Бағдат,Карта,2025-07-23,Играем дома,1468,KZT,2283414,1101524
6,Айсұлу,Карта,2025-10-07,Продукты питания,2663,KZT,584808,271086
25,Жазира,Карта,2025-10-09,Путешествия,130429,KZT,2152892,1220948
4,Айназ,Карта,2025-10-16,Отели,8715,KZT,947937,767480
36,Нұрсұлтан,Карта,2025-09-02,Развлечения,17633,KZT,2456129,1078509
14,Ақмарал,Карта,2025-09-20,Доставка еды,4718,KZT,1199272,209166
41,Санжар,Карта,2025-09-09,Кофе и рестораны,1938,KZT,2093193,1709280
28,Жансая,Карта,2025-10-02,Такси,2869,KZT,1343635,525236
14,Ақмарал,Карта,2025-08-29,Продукты питания,17299,KZT,1199272,209166
43,Сәуле,Карта,2025-07-24,Развлечения,24401,KZT,2191949,434365
13,Ақбота,Карта,2025-10-14,Доставка еды,2326,KZT,1461785,1723019
21,Динара,Карта,2025-08-19,Продукты питания,11514,KZT,1590432,512113
34,Назым,Карта,2025-08-28,Отели,3694,KZT,450547,441763
4,Айназ,Карта,2025-10-13,Продукты питания,8933,KZT,947937,767480
46,Томирис,Карта,2025-08-23,Продукты питания,1939,KZT,555224,575506
17,Бағдат,Карта,2025-08-23,Продукты питания,24426,KZT,2283414,1101524
14,Ақмарал,Карта,2025-10-01,Развлечения,16308,KZT,1199272,209166
23,Ерасыл,Карта,2025-09-24,Играем дома,5607,KZT,1198223,598112
3,Айжан,Карта,2025-10-08,Кино,475,KZT,1106392,851824
5,Айнұр,Карта,2025-08-13,Кофе и рестораны,19274,KZT,2297210,6014
24,Ерлан,Карта,2025-09-06,Доставка еды,9378,KZT,2364205,2130238
23,Ерасыл,Карта,2025-09-14,Доставка еды,7325,KZT,1198223,598112
13,Ақбота,Карта,2025-10-11,АЗС,4897,KZT,1461785,1723019
20,Данияр,Карта,2025-10-18,АЗС,2084,KZT,658844,37786
4,Айназ,Карта,2025-09-30,Такси,1828,KZT,947937,767480
42,Серік,Карта,2025-10-03,Продукты питания,11515,KZT,1118128,848420
1,Айгерім,Карта,2025-09-26,Кофе и рестораны,5390,KZT,2168344,170820
38,Рустем,Карта,2025-08-22,Путешествия,12343,KZT,456574,260287
34,Назым,Карта,2025-10-05,Кофе и рестораны,3355,KZT,450547,441763
23,Ерасыл,Карта,2025-08-22,Развлечения,8863,KZT,1198223,598112
45,Темірлан,Карта,2025-10-11,АЗС,10346,KZT,2045609,2305548
50,Әсел,Карта,2025-08-07,Доставка еды,2565,KZT,2439680,271729
24,Ерлан,Карта,2025-09-04,АЗС,8089,KZT,2364205,2130238
27,Жанель,Карта,2025-10-05,Продукты питания,32457,KZT,2466811,478293
34,Назым,Карта,2025-08-04,Развлечения,2042,KZT,450547,441763
8,Алия,Карта,2025-09-27,АЗС,4311,KZT,703488,750886
11,Арман,Карта,2025-08-21,Развлечения,5466,KZT,2449275,1140829
8,Алия,Карта,2025-08-31,Продукты питания,3553,KZT,703488,750886
37,Раушан,Карта,2025-08-24,Продукты питания,3051,KZT,1261443,212419
41,Санжар,Карта,2025-09-22,Кино,2131,KZT,2093193,1709280
13,Ақбота,Карта,2025-09-12,Развлечения,2671,KZT,1461785,1723019
3,Айжан,Карта,2025-09-05,Кофе и рестораны,13755,KZT,1106392,851824
49,Әлихан,Карта,2025-10-05,Продукты питания,8011,KZT,1523631,877437
3,Айжан,Карта,2025-07-21,Отдых дома,977,KZT,1106392,851824
4,Айназ,Карта,2025-09-09,Кофе и рестораны,7430,KZT,947937,767480
41,Санжар,Карта,2025-09-02,Продукты питания,11270,KZT,2093193,1709280
27,Жанель,Карта,2025-09-22,Играем дома,4124,KZT,2466811,478293
4,Айназ,Карта,2025-08-27,Развлечения,722,KZT,947937,767480
21,Динара,Карта,2025-08-02,Такси,2641,KZT,1590432,512113
47,Қайрат,Карта,2025-08-04,Кофе и рестораны,4102,KZT,813028,447386
23,Ерасыл,Карта,2025-10-15,Продукты питания,9258,KZT,1198223,598112
45,Темірлан,Карта,2025-09-11,Доставка еды,676,KZT,2045609,2305548
3,Айжан,Карта,2025-10-08,Путешествия,51474,KZT,1106392,851824
36,Нұрсұлтан,Карта,2025-07-24,Кофе и рестораны,24390,KZT,2456129,1078509
42,Серік,Карта,2025-08-22,Играем дома,5315,KZT,1118128,848420
3,Айжан,Карта,2025-09-17,Кофе и рестораны,6583,KZT,1106392,851824
38,Рустем,Карта,2025-08-02,Развлечения,4470,KZT,456574,260287
48,Қуат,Карта,2025-10-10,Продукты питания,1423,KZT,442697,2156
29,Зере,Карта,2025-09-11,Продукты питания,10781,KZT,1063354,1206709
6,Айсұлу,Карта,2025-10-16,Кино,366,KZT,584808,271086
44,Талғат,Карта,2025-08-03,Продукты питания,11110,KZT,1827179,1061071
1,Айгерім,Карта,2025-08-14,Развлечения,11715,KZT,2168344,170820
12,Аружан,Карта,2025-08-08,АЗС,13029,KZT,2121500,575730
34,Назым,Карта,2025-09-14,Развлечения,4500,KZT,450547,441763
32,Меруерт,Карта,2025-08-11,Кофе и рестораны,16245,KZT,1310434,412250
14,Ақмарал,Карта,2025-09-29,Отдых дома,1971,KZT,1199272,209166
33,Мурат,Карта,2025-08-09,Развлечения,8665,KZT,1419977,581454
41,Санжар,Карта,2025-08-06,Продукты питания,9658,KZT,2093193,1709280
28,Жансая,Карта,2025-08-22,Путешествия,90113,KZT,1343635,525236
16,Бауыржан,Карта,2025-08-19,Продукты питания,10545,KZT,1598485,1288866
20,Данияр,Карта,2025-08-23,Путешествия,27733,KZT,658844,37786
15,Балжан,Карта,2025-08-06,Кофе и рестораны,2549,KZT,693596,578208
3,Айжан,Карта,2025-08-01,Путешествия,47654,KZT,1106392,851824
1,Айгерім,Карта,2025-10-03,Играем дома,7354,KZT,2168344,170820
39,Салтанат,Карта,2025-09-19,Кофе и рестораны,8512,KZT,1500725,1461805
1,Айгерім,Карта,2025-10-05,Продукты питания,10194,KZT,2168344,170820
4,Айназ,Карта,2025-09-18,Развлечения,455,KZT,947937,767480
10,Арайлым,Карта,2025-09-22,Продукты питания,1969,KZT,903264,834909
44,Талғат,Карта,2025-09-15,Отдых дома,4261,KZT,1827179,1061071
25,Жазира,Карта,2025-08-02,Кофе и рестораны,18664,KZT,2152892,1220948
2,Айдос,Карта,2025-07-25,Кофе и рестораны,3035,KZT,862587,935275
35,Нұржан,Карта,2025-08-08,Кино,538,KZT,2076357,623460
36,Нұрсұлтан,Карта,2025-08-07,Такси,1215,KZT,2456129,1078509
41,Санжар,Карта,2025-09-04,Играем дома,12816,KZT,2093193,1709280
9,Алтынай,Карта,2025-07-27,Кофе и рестораны,11412,KZT,1816149,1494081
45,Темірлан,Карта,2025-08-05,Отдых дома,2641,KZT,2045609,2305548
29,Зере,Карта,2025-10-17,АЗС,7300,KZT,1063354,1206709
7,Айым,Карта,2025-10-14,АЗС,3645,KZT,730892,532540
49,Әлихан,Карта,2025-09-20,АЗС,2179,KZT,1523631,877437
4,Айназ,Карта,2025-07-23,Путешествия,50768,KZT,947937,767480
35,Нұржан,Карта,2025-09-03,Развлечения,21224,KZT,2076357,623460
8,Алия,Карта,2025-10-15,Отели,20791,KZT,703488,750886
17,Бағдат,Карта,2025-10-12,Кофе и рестораны,20214,KZT,2283414,1101524
9,Алтынай,Карта,2025-07-20,Продукты питания,10386,KZT,1816149,1494081
13,Ақбота,Карта,2025-08-26,Продукты питания,6923,KZT,1461785,1723019
48,Қуат,Карта,2025-10-06,Отдых дома,1284,KZT,442697,2156
29,Зере,Карта,2025-10-09,АЗС,1786,KZT,1063354,1206709
23,Ерасыл,Карта,2025-07-20,Продукты питания,16638,KZT,1198223,598112
32,Меруерт,Карта,2025-07-25,Кофе и рестораны,2457,KZT,1310434,412250
42,Серік,Карта,2025-07-21,АЗС,6066,KZT,1118128,848420
32,Меруерт,Карта,2025-09-17,Кофе и рестораны,21773,KZT,1310434,412250
34,Назым,Карта,2025-09-10,Продукты питания,4148,KZT,450547,441763
15,Балжан,Карта,2025-07-21,Играем дома,405,KZT,693596,578208
17,Бағдат,Карта,2025-08-16,Такси,1087,KZT,2283414,1101524
36,Нұрсұлтан,Карта,2025-07-21,Отдых дома,2945,KZT,2456129,1078509
9,Алтынай,Карта,2025-10-10,Отдых дома,3284,KZT,1816149,1494081
34,Назым,Карта,2025-09-27,Продукты питания,4547,KZT,450547,441763
16,Бауыржан,Карта,2025-07-30,Развлечения,2375,KZT,1598485,1288866
11,Арман,Карта,2025-10-05,Путешествия,35372,KZT,2449275,1140829
16,Бауыржан,Карта,2025-08-04,Такси,3441,KZT,1598485,1288866
45,Темірлан,Карта,2025-09-04,Продукты питания,18275,KZT,2045609,2305548
10,Арайлым,Карта,2025-08-11,АЗС,982,KZT,903264,834909
31,Мадина,Карта,2025-07-31,Продукты питания,2754,KZT,896448,537204
50,Әсел,Карта,2025-07-27,Отдых дома,3595,KZT,2439680,271729
22,Дияс,Карта,2025-08-04,Отдых дома,1962,KZT,2393606,97129
24,Ерлан,Карта,2025-10-11,Доставка еды,8409,KZT,2364205,2130238
45,Темірлан,Карта,2025-08-19,Кофе и рестораны,4766,KZT,2045609,2305548
23,Ерасыл,Карта,2025-09-08,Путешествия,13106,KZT,1198223,598112
20,Данияр,Карта,2025-07-30,Кофе и рестораны,10732,KZT,658844,37786
2,Айдос,Карта,2025-08-05,Кофе и рестораны,6598,KZT,862587,935275
25,Жазира,Карта,2025-09-12,Кофе и рестораны,30859,KZT,2152892,1220948
14,Ақмарал,Карта,2025-10-09,Кофе и рестораны,20831,KZT,1199272,209166
39,Салтанат,Карта,2025-07-21,Продукты питания,11738,KZT,1500725,1461805
44,Талғат,Карта,2025-08-18,АЗС,13596,KZT,1827179,1061071
11,Арман,Карта,2025-09-22,Продукты питания,32021,KZT,2449275,1140829
43,Сәуле,Карта,2025-08-15,АЗС,3125,KZT,2191949,434365
33,Мурат,Карта,2025-10-17,Такси,2649,KZT,1419977,581454
34,Назым,Карта,2025-07-27,Кофе и рестораны,2236,KZT,450547,441763
42,Серік,Карта,2025-09-20,Продукты питания,1787,KZT,1118128,848420
29,Зере,Карта,2025-10-12,Продукты питания,5947,KZT,1063354,1206709
7,Айым,Карта,2025-08-05,Развлечения,3532,KZT,730892,532540
14,Ақмарал,Карта,2025-09-29,Продукты питания,9301,KZT,1199272,209166
43,Сәуле,Карта,2025-09-04,Кофе и рестораны,33913,KZT,2191949,434365
18,Ботагөз,Карта,2025-09-12,Доставка еды,2411,KZT,1151505,531208
21,Динара,Карта,2025-09-15,Развлечения,12097,KZT,1590432,512113
21,Динара,Карта,2025-10-04,Доставка еды,7645,KZT,1590432,512113
47,Қайрат,Карта,2025-08-15,Продукты питания,9556,KZT,813028,447386
43,Сәуле,Карта,2025-09-02,Такси,590,KZT,2191949,434365
23,Ерасыл,Карта,2025-08-29,Продукты питания,6558,KZT,1198223,598112
6,Айсұлу,Карта,2025-09-14,Продукты питания,4490,KZT,584808,271086
12,Аружан,Карта,2025-09-30,Кофе и рестораны,27301,KZT,2121500,575730
43,Сәуле,Карта,2025-08-12,АЗС,18460,KZT,2191949,434365
25,Жазира,Карта,2025-09-05,Кино,893,KZT,2152892,1220948
15,Балжан,Карта,2025-09-08,Продукты питания,6324,KZT,693596,578208
35,Нұржан,Карта,2025-08-11,Кофе и рестораны,17297,KZT,2076357,623460
41,Санжар,Карта,2025-09-12,Кофе и рестораны,10813,KZT,2093193,1709280
49,Әлихан,Карта,2025-09-28,Развлечения,12249,KZT,1523631,877437
3,Айжан,Карта,2025-10-02,Кино,641,KZT,1106392,851824
45,Темірлан,Карта,2025-08-29,Продукты питания,17878,KZT,2045609,2305548
24,Ерлан,Карта,2025-08-08,Кофе и рестораны,19228,KZT,2364205,2130238
32,Меруерт,Карта,2025-08-17,Продукты питания,16530,KZT,1310434,412250
4,Айназ,Карта,2025-08-26,Играем дома,5682,KZT,947937,767480
11,Арман,Карта,2025-10-04,Отдых дома,1019,KZT,2449275,1140829
29,Зере,Карта,2025-10-18,Такси,1878,KZT,1063354,1206709
28,Жансая,Карта,2025-09-08,Кино,1225,KZT,1343635,525236
11,Арман,Карта,2025-07-23,АЗС,5525,KZT,2449275,1140829
19,Гаухар,Карта,2025-10-17,АЗС,5074,KZT,697027,1874
24,Ерлан,Карта,2025-08-15,Кино,1266,KZT,2364205,2130238
33,Мурат,Карта,2025-07-24,Кофе и рестораны,20938,KZT,1419977,581454
46,Томирис,Карта,2025-10-06,Кофе и рестораны,3516,KZT,555224,575506
50,Әсел,Карта,2025-08-13,Кофе и рестораны,1076,KZT,2439680,271729
45,Темірлан,Карта,2025-10-15,АЗС,7593,KZT,2045609,2305548
50,Әсел,Карта,2025-09-30,Кино,2073,KZT,2439680,271729
13,Ақбота,Карта,2025-07-22,Такси,1440,KZT,1461785,1723019
31,Мадина,Карта,2025-07-24,Доставка еды,2534,KZT,896448,537204
16,Бауыржан,Карта,2025-08-31,Продукты питания,3522,KZT,1598485,1288866
49,Әлихан,Карта,2025-10-13,Продукты питания,5726,KZT,1523631,877437
39,Салтанат,Карта,2025-08-05,Отдых дома,890,KZT,1500725,1461805
36,Нұрсұлтан,Карта,2025-08-08,Отели,44815,KZT,2456129,1078509
49,Әлихан,Карта,2025-07-22,Продукты питания,18420,KZT,1523631,877437
17,Бағдат,Карта,2025-09-15,Отдых дома,1250,KZT,2283414,1101524
3,Айжан,Карта,2025-08-25,Отдых дома,940,KZT,1106392,851824
26,Жандос,Карта,2025-07-29,Развлечения,11427,KZT,2241153,1220415
3,Айжан,Карта,2025-08-02,Путешествия,47392,KZT,1106392,851824
45,Темірлан,Карта,2025-10-09,Кино,1128,KZT,2045609,2305548
14,Ақмарал,Карта,2025-10-15,Развлечения,10751,KZT,1199272,209166
19,Гаухар,Карта,2025-10-08,Продукты питания,1149,KZT,697027,1874
27,Жанель,Карта,2025-10-02,Доставка еды,11498,KZT,2466811,478293
20,Данияр,Карта,2025-07-24,Путешествия,51936,KZT,658844,37786
45,Темірлан,Карта,2025-09-18,Продукты питания,9571,KZT,2045609,2305548
50,Әсел,Карта,2025-08-28,Кофе и рестораны,9462,KZT,2439680,271729
10,Арайлым,Карта,2025-09-26,Кино,508,KZT,903264,834909
35,Нұржан,Карта,2025-07-27,АЗС,17070,KZT,2076357,623460
40,Самал,Карта,2025-08-28,Кофе и рестораны,16878,KZT,1486273,750536
2,Айдос,Карта,2025-08-05,Развлечения,6432,KZT,862587,935275
12,Аружан,Карта,2025-08-27,АЗС,19841,KZT,2121500,575730
43,Сәуле,Карта,2025-08-31,Путешествия,126550,KZT,2191949,434365
12,Аружан,Карта,2025-09-19,Продукты питания,18164,KZT,2121500,575730
3,Айжан,Карта,2025-10-06,Отдых дома,1585,KZT,1106392,851824
24,Ерлан,Карта,2025-07-24,Доставка еды,4492,KZT,2364205,2130238
27,Жанель,Карта,2025-10-04,Такси,1380,KZT,2466811,478293
21,Динара,Карта,2025-10-08,Продукты питания,5716,KZT,1590432,512113
16,Бауыржан,Карта,2025-08-13,Доставка еды,912,KZT,1598485,1288866
13,Ақбота,Карта,2025-09-18,Продукты питания,10057,KZT,1461785,1723019
11,Арман,Карта,2025-07-28,Такси,4153,KZT,2449275,1140829
45,Темірлан,Карта,2025-07-28,Кофе и рестораны,21134,KZT,2045609,2305548
16,Бауыржан,Карта,2025-10-15,Доставка еды,2663,KZT,1598485,1288866
25,Жазира,Карта,2025-07-28,Продукты питания,27543,KZT,2152892,1220948
50,Әсел,Карта,2025-08-06,Отели,117463,KZT,2439680,271729
13,Ақбота,Карта,2025-08-10,Доставка еды,4740,KZT,1461785,1723019
28,Жансая,Карта,2025-08-08,Путешествия,48988,KZT,1343635,525236
37,Раушан,Карта,2025-10-18,Кино,1263,KZT,1261443,212419
7,Айым,Карта,2025-10-17,Кофе и рестораны,2331,KZT,730892,532540
9,Алтынай,Карта,2025-09-18,Продукты питания,6796,KZT,1816149,1494081
30,Инабат,Карта,2025-09-09,Продукты питания,9446,KZT,2288846,1844876
8,Алия,Карта,2025-08-21,Кофе и рестораны,7069,KZT,703488,750886
32,Меруерт,Карта,2025-09-03,Кофе и рестораны,19349,KZT,1310434,412250
5,Айнұр,Карта,2025-09-09,Продукты питания,32731,KZT,2297210,6014
44,Талғат,Карта,2025-09-15,Играем дома,5493,KZT,1827179,1061071
48,Қуат,Карта,2025-09-01,Продукты питания,5690,KZT,442697,2156
16,Бауыржан,Карта,2025-09-14,Кофе и рестораны,1878,KZT,1598485,1288866
10,Арайлым,Карта,2025-07-26,Доставка еды,3289,KZT,903264,834909
37,Раушан,Карта,2025-07-20,Продукты питания,17450,KZT,1261443,212419
39,Салтанат,Карта,2025-09-26,Кофе и рестораны,17150,KZT,1500725,1461805
21,Динара,Карта,2025-09-07,Развлечения,4681,KZT,1590432,512113
44,Талғат,Карта,2025-08-24,Кофе и рестораны,31283,KZT,1827179,1061071
45,Темірлан,Карта,2025-10-02,Путешествия,47512,KZT,2045609,2305548
2,Айдос,Карта,2025-07-30,АЗС,2390,KZT,862587,935275
39,Салтанат,Карта,2025-09-14,АЗС,6829,KZT,1500725,1461805
11,Арман,Карта,2025-08-30,Кофе и рестораны,22912,KZT,2449275,1140829
35,Нұржан,Карта,2025-10-12,Кофе и рестораны,2868,KZT,2076357,623460
21,Динара,Карта,2025-10-06,Развлечения,9293,KZT,1590432,512113
32,Меруерт,Карта,2025-08-08,Отдых дома,996,KZT,1310434,412250
27,Жанель,Карта,2025-08-23,Кино,3452,KZT,2466811,478293
4,Айназ,Карта,2025-08-30,АЗС,7221,KZT,947937,767480
6,Айсұлу,Карта,2025-08-02,Путешествия,5640,KZT,584808,271086
13,Ақбота,Карта,2025-10-12,Отдых дома,1763,KZT,1461785,1723019
27,Жанель,Карта,2025-10-11,Кино,2804,KZT,2466811,478293
8,Алия,Карта,2025-10-10,Продукты питания,5592,KZT,703488,750886
3,Айжан,Карта,2025-09-09,АЗС,7497,KZT,1106392,851824
41,Санжар,Карта,2025-10-11,Продукты питания,3692,KZT,2093193,1709280
40,Самал,Карта,2025-09-14,АЗС,5729,KZT,1486273,750536
29,Зере,Карта,2025-09-25,Продукты питания,8642,KZT,1063354,1206709
45,Темірлан,Карта,2025-09-06,Отдых дома,2398,KZT,2045609,2305548
19,Гаухар,Карта,2025-09-21,Отдых дома,1890,KZT,697027,1874
28,Жансая,Карта,2025-09-07,Развлечения,12082,KZT,1343635,525236
31,Мадина,Карта,2025-08-22,Кофе и рестораны,13389,KZT,896448,537204
4,Айназ,Карта,2025-09-15,Отдых дома,1396,KZT,947937,767480
8,Алия,Карта,2025-09-28,Отдых дома,804,KZT,703488,750886
15,Балжан,Карта,2025-10-12,АЗС,2328,KZT,693596,578208
16,Бауыржан,Карта,2025-09-23,Кино,841,KZT,1598485,1288866
4,Айназ,Карта,2025-08-12,Продукты питания,2486,KZT,947937,767480
27,Жанель,Карта,2025-07-24,Отдых дома,3114,KZT,2466811,478293
35,Нұржан,Карта,2025-09-01,Доставка еды,1197,KZT,2076357,623460
25,Жазира,Карта,2025-09-07,Отдых дома,2804,KZT,2152892,1220948
3,Айжан,Карта,2025-09-08,Кофе и рестораны,13047,KZT,1106392,851824
2,Айдос,Карта,2025-09-10,Продукты питания,5718,KZT,862587,935275
3,Айжан,Карта,2025-08-07,Путешествия,32821,KZT,1106392,851824
36,Нұрсұлтан,Карта,2025-10-03,Кино,1727,KZT,2456129,1078509
2,Айдос,Карта,2025-09-04,Кофе и рестораны,1356,KZT,862587,935275
36,Нұрсұлтан,Карта,2025-08-25,АЗС,12615,KZT,2456129,1078509
23,Ерасыл,Карта,2025-08-24,Продукты питания,15720,KZT,1198223,598112
6,Айсұлу,Карта,2025-08-18,Продукты питания,5989,KZT,584808,271086
41,Санжар,Карта,2025-07-23,Продукты питания,21328,KZT,2093193,1709280
1,Айгерім,Карта,2025-08-14,АЗС,10257,KZT,2168344,170820
42,Серік,Карта,2025-10-14,Развлечения,11419,KZT,1118128,848420
42,Серік,Карта,2025-09-01,АЗС,6665,KZT,1118128,848420
29,Зере,Карта,2025-07-24,Путешествия,15510,KZT,1063354,1206709
13,Ақбота,Карта,2025-09-06,Доставка еды,1604,KZT,1461785,1723019
8,Алия,Карта,2025-07-30,Такси,245,KZT,703488,750886
26,Жандос,Карта,2025-09-21,Такси,3010,KZT,2241153,1220415
3,Айжан,Карта,2025-08-16,Продукты питания,5018,KZT,1106392,851824
17,Бағдат,Карта,2025-07-22,Продукты питания,16079,KZT,2283414,1101524
35,Нұржан,Карта,2025-09-21,АЗС,8590,KZT,2076357,623460
30,Инабат,Карта,2025-10-12,Отдых дома,3194,KZT,2288846,1844876
38,Рустем,Карта,2025-08-26,Развлечения,4778,KZT,456574,260287
30,Инабат,Карта,2025-08-22,Кофе и рестораны,6256,KZT,2288846,1844876
20,Данияр,Карта,2025-09-28,Продукты питания,2535,KZT,658844,37786
26,Жандос,Карта,2025-07-27,Кофе и рестораны,19968,KZT,2241153,1220415
39,Салтанат,Карта,2025-09-09,Развлечения,10808,KZT,1500725,1461805
11,Арман,Карта,2025-09-22,Путешествия,168241,KZT,2449275,1140829
49,Әлихан,Карта,2025-09-06,Развлечения,16105,KZT,1523631,877437
39,Салтанат,Карта,2025-09-22,Развлечения,12233,KZT,1500725,1461805
27,Жанель,Карта,2025-08-02,Продукты питания,31441,KZT,2466811,478293
39,Салтанат,Карта,2025-08-26,Путешествия,25073,KZT,1500725,1461805
26,Жандос,Карта,2025-09-07,АЗС,6597,KZT,2241153,1220415
8,Алия,Карта,2025-08-19,Такси,763,KZT,703488,750886
4,Айназ,Карта,2025-07-24,Продукты питания,9129,KZT,947937,767480
36,Нұрсұлтан,Карта,2025-09-28,Кофе и рестораны,35971,KZT,2456129,1078509
8,Алия,Карта,2025-10-17,Кофе и рестораны,9039,KZT,703488,750886
15,Балжан,Карта,2025-07-21,Развлечения,4269,KZT,693596,578208
4,Айназ,Карта,2025-07-26,Развлечения,6715,KZT,947937,767480
33,Мурат,Карта,2025-08-20,Кофе и рестораны,18065,KZT,1419977,581454
21,Динара,Карта,2025-09-16,Кофе и рестораны,10784,KZT,1590432,512113
11,Арман,Карта,2025-08-08,АЗС,7847,KZT,2449275,1140829
23,Ерасыл,Карта,2025-07-26,Кофе и рестораны,10727,KZT,1198223,598112
